[ MainThread ] 15:53:49 | INFO     | GensokyoAI.core.agent.providers.create:134 | 创建 Provider: deepseek -> DeepSeekProvider
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent.providers.openai_provider.__init__:043 | OpenAIProvider 初始化完成，base_url: https://api.deepseek.com/v1, model: deepseek-v4-flash
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent.model_client.__init__:036 | ModelClient 初始化完成，Provider: deepseek, 模型: deepseek-v4-flash
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.tools.registry._load_builtin:032 | 加载内置工具: memory_tool
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.tools.registry._load_builtin:032 | 加载内置工具: moon
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.tools.registry._load_builtin:032 | 加载内置工具: system
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.tools.registry._load_builtin:032 | 加载内置工具: time
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.session.persistence._build_index:038 | 构建会话索引完成，共 1 个会话
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.session.persistence.load_messages:152 | 加载消息: c1953312-15a2-4356-99e9-dfcf905284d5, 2 条
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.session.manager._load_sessions:038 | 加载了 1 个历史会话
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'session.created' -> on_session_created [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'session.resumed' -> on_session_resumed [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'think.engine.thought' -> on_thought_record [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.received' -> on_message_received [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.sent' -> on_message_sent [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'think.engine.initiative' -> on_initiative_speak_record [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.working.added' -> on_working_memory_added [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.episodic.compressed' -> on_episodic_compressed [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'tool.call.started' -> on_tool_call_started [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'tool.call.completed' -> on_tool_call_completed [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'persistence.save.completed' -> on_persistence_saved [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'error.occurred' -> on_error [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.event_listeners._register:052 | 核心监听器已注册
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.semantic.added' -> on_memory_add_request [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.semantic.recalled' -> on_memory_recall_request [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.semantic.updated' -> on_memory_update_request [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.received' -> _async_inc_received [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.sent' -> _async_inc_sent [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'tool.call.completed' -> _async_inc_tool [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'memory.semantic.added' -> _async_inc_memory [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'error.occurred' -> _async_inc_error [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'error.model' -> _async_update_model_error [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'error.tool' -> _async_update_tool_error [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'error.occurred' -> _async_update_general_error [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.sent' -> _on_message_sent_for_persistence [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'think.engine.initiative' -> _on_initiative_for_persistence [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'tool.call.completed' -> _on_tool_completed_for_persistence [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.event_listeners._register:476 | 💾 [PersistenceListeners] 持久化监听器已注册
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent._impl._init_event_listeners:129 | 所有事件监听器已注册
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent.lifecycle.setup_signal_handlers:104 | 当前平台不支持 add_signal_handler
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.events.publish:282 | 📢 [EventBus] 事件触发: 'agent.started' (来源: agent, ID: c49b4e73) (dict)
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.agent._impl.__init__:068 | Agent 初始化完成，角色: 雾雨魔理沙
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.session.persistence.save_session:068 | 会话已保存: sessions\雾雨魔理沙\2a29cc20-24ec-48d5-bebf-2a5d694c3cf4.json
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.session.persistence.save_messages:101 | 消息已保存: 2a29cc20-24ec-48d5-bebf-2a5d694c3cf4, 0 条
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.session.manager.create_session:051 | 创建会话: 2a29cc20-24ec-48d5-bebf-2a5d694c3cf4
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.events.publish:282 | 📢 [EventBus] 事件触发: 'session.created' (来源: agent, ID: 378b8fa6) (dict)
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'think.engine.initiative' -> _on_initiative_message [优先级: NORMAL]
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.events.start:161 | 🚀 [EventBus] 事件总线已启动
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.background.manager.register_worker:071 | 注册工作器: PERSISTENCE
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.background.manager.start:142 | 后台管理器已启动 (2 个工作器)
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.memory.episodic.initialize:039 | 加载了 0 条情景记忆
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.memory.semantic.__init__:036 | 语义记忆初始化: 雾雨魔理沙, 存储路径: sessions\雾雨魔理沙\memory\2a29cc20-24ec-48d5-bebf-2a5d694c3cf4\topics.json
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent._impl.semantic_memory:176 | 语义记忆已初始化: sessions\雾雨魔理沙\memory\2a29cc20-24ec-48d5-bebf-2a5d694c3cf4
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.agent.think_engine.start:061 | 🧠 [ThinkEngine] 思考引擎已启动 (角色: 雾雨魔理沙, 间隔: 1分钟)
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'message.received' -> _on_message_received [优先级: HIGHEST]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'think.engine.thought' -> _on_thought_generated [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'tool.call.completed' -> _on_tool_completed [优先级: NORMAL]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent.action_planner.__init__:050 | 🧠 [ActionPlanner] 初始化完成，角色: 雾雨魔理沙
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'action.decided' -> _on_action_decided [优先级: HIGH]
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.agent.action_executor.__init__:031 | ⚡ [ActionExecutor] 初始化完成
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events.subscribe:257 | 📌 [EventBus] 订阅: 'generate.response' -> _on_generate_response [优先级: NORMAL]
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.agent._impl.start:365 | Agent 已启动
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.backends.console._impl.start:100 | 控制台后端已启动
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events._event_worker:209 | 🔄 [EventBus] 工作器线程已启动
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events._event_worker:216 | 📬 [EventBus] 从队列取出事件: agent.started (队列剩余: 1)
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events._process_event:327 | 👻 [EventBus] 事件 'agent.started' 无订阅者
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events._event_worker:216 | 📬 [EventBus] 从队列取出事件: session.created (队列剩余: 0)
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.core.events._process_event:333 | 🔄 [EventBus] 处理事件 'session.created' -> 1 个订阅者
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.events._process_event:352 |    📨 [EventBus] 推送给处理器: on_session_created 执行
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.event_listeners.on_session_created:059 | 会话已创建: 2a29cc20...
[ MainThread ] 15:53:52 | INFO     | GensokyoAI.core.events._process_event:363 |    ✅ [EventBus] on_session_created 执行完成 (0.1ms)
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.background.manager._worker_loop:180 | 工作器 0 已启动
[ MainThread ] 15:53:52 | DEBUG    | GensokyoAI.background.manager._worker_loop:180 | 工作器 1 已启动
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events.publish:282 | 📢 [EventBus] 事件触发: 'message.received' (来源: agent, ID: 9f419961) [content: 你好啊魔理沙！]
[ MainThread ] 15:53:54 | DEBUG    | GensokyoAI.core.events._event_worker:216 | 📬 [EventBus] 从队列取出事件: message.received (队列剩余: 0)
[ MainThread ] 15:53:54 | DEBUG    | GensokyoAI.core.events._process_event:333 | 🔄 [EventBus] 处理事件 'message.received' -> 3 个订阅者
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:352 |    📨 [EventBus] 推送给处理器: _on_message_received 执行
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events.publish:282 | 📢 [EventBus] 事件触发: 'action.decided' (来源: action_planner, ID: b98e69c2) (dict)
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.agent.action_planner._publish_action:225 | 🧠 [ActionPlanner] 决策: SPEAK - 回应: 你好啊魔理沙！...
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:363 |    ✅ [EventBus] _on_message_received 执行完成 (0.3ms)
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:352 |    📨 [EventBus] 推送给处理器: on_message_received 执行
[ MainThread ] 15:53:54 | DEBUG    | GensokyoAI.core.event_listeners.on_message_received:091 | 收到消息: 你好啊魔理沙！...
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:363 |    ✅ [EventBus] on_message_received 执行完成 (0.2ms)
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:352 |    📨 [EventBus] 推送给处理器: _async_inc_received 执行
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:363 |    ✅ [EventBus] _async_inc_received 执行完成 (0.0ms)
[ MainThread ] 15:53:54 | DEBUG    | GensokyoAI.core.events._event_worker:216 | 📬 [EventBus] 从队列取出事件: action.decided (队列剩余: 0)
[ MainThread ] 15:53:54 | DEBUG    | GensokyoAI.core.events._process_event:333 | 🔄 [EventBus] 处理事件 'action.decided' -> 1 个订阅者
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events._process_event:352 |    📨 [EventBus] 推送给处理器: _on_action_decided 执行
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.agent.action_executor._on_action_decided:047 | ⚡ [ActionExecutor] 执行: SPEAK
[ MainThread ] 15:53:54 | INFO     | GensokyoAI.core.events.publish:282 | 📢 [EventBus] 事件触发: 'generate.response' (来源: action_executor, ID: 131e63bb) (dict)
